id_venta,id_producto,nombre_producto_detalle,cantidad,precio_unitario_detalle,importe,nombre_producto_producto,categoria_Alimentos,categoria_Limpieza,precio_unitario_producto,fecha,id_cliente,nombre_cliente_venta,email_venta,medio_pago_tarjeta,medio_pago_qr,medio_pago_transferencia,medio_pago_efectivo,nombre_cliente_cliente,email_cliente,ciudad_0,ciudad_1,ciudad_2,fecha_alta
1,90,Toallas Húmedas x50,0.0,0.5583864118895966,-0.9285567001274592,Toallas Húmedas x50,0,1,0.5583864118895966,2024-06-19,62,Guadalupe Romero,guadalupe.romero@mail.com,1,0,0,0,Guadalupe Romero,guadalupe.romero@mail.com,0,0,1,2023-03-03
2,82,Aceitunas Negras 200g,1.0,0.4505307855626327,0.8283599031189322,Aceitunas Negras 200g,0,1,0.4505307855626327,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,0,1,0,0,Olivia Gomez,olivia.gomez@mail.com,0,1,0,2023-02-18
2,39,Helado Vainilla 1L,1.0,0.0418259023354564,-1.036474934358628,Helado Vainilla 1L,1,0,0.0418259023354564,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,0,1,0,0,Olivia Gomez,olivia.gomez@mail.com,0,1,0,2023-02-18
2,70,Fernet 750ml,0.25,0.8044585987261147,0.0828134662759553,Fernet 750ml,0,1,0.8044585987261147,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,0,1,0,0,Olivia Gomez,olivia.gomez@mail.com,0,1,0,2023-02-18
2,22,Medialunas de Manteca,0.0,0.3815286624203822,-1.0899496787891534,Medialunas de Manteca,0,1,0.3815286624203822,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,0,1,0,0,Olivia Gomez,olivia.gomez@mail.com,0,1,0,2023-02-18
2,79,Hamburguesas Congeladas x4,0.75,0.4560509554140127,0.3846745236047905,Hamburguesas Congeladas x4,1,0,0.4560509554140127,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,0,1,0,0,Olivia Gomez,olivia.gomez@mail.com,0,1,0,2023-02-18
3,9,Yerba Mate Suave 1kg,0.25,0.7656050955414013,0.0119013051833021,Yerba Mate Suave 1kg,1,0,0.7656050955414013,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,1,0,0,0,Tomas Acosta,tomas.acosta@mail.com,0,1,0,2023-01-20
3,2,Pepsi 1.5L,0.25,0.9980891719745224,0.4362117772950795,Pepsi 1.5L,0,1,0.9980891719745224,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,1,0,0,0,Tomas Acosta,tomas.acosta@mail.com,0,1,0,2023-01-20
3,85,Jugo en Polvo Naranja,0.0,0.3363057324840764,-1.1312182315561892,Jugo en Polvo Naranja,1,0,0.3363057324840764,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,1,0,0,0,Tomas Acosta,tomas.acosta@mail.com,0,1,0,2023-01-20
4,4,Fanta Naranja 1.5L,0.25,0.3738853503184713,-0.703032777963939,Fanta Naranja 1.5L,0,1,0.3738853503184713,2024-02-27,36,Martina Molina,martina.molina@mail.com,0,0,1,0,Martina Molina,martina.molina@mail.com,1,1,0,2023-02-05
4,23,Bizcochos Salados,1.0,0.4475583864118896,0.8147974679372771,Bizcochos Salados,1,0,0.4475583864118896,2024-02-27,36,Martina Molina,martina.molina@mail.com,0,0,1,0,Martina Molina,martina.molina@mail.com,1,1,0,2023-02-05
5,86,Jugo en Polvo Limón,0.75,0.810615711252654,1.6789183380827235,Jugo en Polvo Limón,0,1,0.810615711252654,2024-06-11,56,Bruno Diaz,bruno.diaz@mail.com,1,0,0,0,Bruno Diaz,bruno.diaz@mail.com,0,1,0,2023-02-25
6,25,Galletitas Vainilla,0.25,0.7946921443736731,0.0649885514657802,Galletitas Vainilla,1,0,0.7946921443736731,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,0,0,1,0,Uma Sanchez,uma.sanchez@mail.com,1,1,0,2023-04-01
6,31,Mix de Frutos Secos 200g,0.5,0.6660297239915075,0.4906552670957231,Mix de Frutos Secos 200g,1,0,0.6660297239915075,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,0,0,1,0,Uma Sanchez,uma.sanchez@mail.com,1,1,0,2023-04-01
6,83,Queso Untable 190g,0.0,0.3307855626326964,-1.136255707480804,Queso Untable 190g,1,0,0.3307855626326964,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,0,0,1,0,Uma Sanchez,uma.sanchez@mail.com,1,1,0,2023-04-01
6,59,Chicle Menta,0.75,0.7091295116772824,1.3084701085495185,Chicle Menta,1,0,0.7091295116772824,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,0,0,1,0,Uma Sanchez,uma.sanchez@mail.com,1,1,0,2023-04-01
7,63,Granola 250g,0.5,0.8630573248407644,1.030052689177544,Granola 250g,1,0,0.8630573248407644,2024-05-06,92,Mariana Rodriguez,mariana.rodriguez@mail.com,0,0,0,1,Mariana Rodriguez,mariana.rodriguez@mail.com,1,0,1,2023-04-02
8,53,Lavandina 1L,1.0,0.2955414012738854,0.1211757829326366,Lavandina 1L,1,0,0.2955414012738854,2024-01-06,66,Tomas Herrera,tomas.herrera@mail.com,0,0,1,0,Tomas Herrera,tomas.herrera@mail.com,1,0,0,2023-03-07
